VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,pickup_hour,pickup_dayofweek,tip_rate,high_tip
2,2023-01-01 00:47:57,2023-01-01 01:12:21,1.0,7.41,1.0,N,163,87,2,32.4,1.0,0.5,0.0,0.0,1.0,37.4,2.5,0.0,0,6,0.0,0
2,2023-01-01 00:15:15,2023-01-01 00:55:24,1.0,12.98,1.0,N,132,188,2,55.5,1.0,0.5,0.0,0.0,1.0,59.25,0.0,1.25,0,6,0.0,0
1,2023-01-01 00:33:22,2023-01-01 00:37:06,2.0,0.7,1.0,N,262,263,1,5.8,3.5,0.5,2.7,0.0,1.0,13.5,2.5,0.0,0,6,0.4655172413793104,1
1,2023-01-01 00:39:04,2023-01-01 00:49:27,1.0,1.8,1.0,N,263,141,1,10.7,3.5,0.5,3.9,0.0,1.0,19.6,2.5,0.0,0,6,0.36448598130841126,1
1,2023-01-01 00:53:12,2023-01-01 01:07:16,1.0,4.2,1.0,N,140,224,1,19.1,3.5,0.5,2.0,0.0,1.0,26.1,2.5,0.0,0,6,0.10471204188481674,0
2,2023-01-01 00:15:23,2023-01-01 00:29:18,1.0,3.45,1.0,N,107,236,1,17.0,1.0,0.5,2.8,0.0,1.0,24.8,2.5,0.0,0,6,0.16470588235294117,0
2,2023-01-01 00:30:23,2023-01-01 00:34:11,1.0,0.81,1.0,N,236,141,1,5.8,1.0,0.5,2.16,0.0,1.0,12.96,2.5,0.0,0,6,0.3724137931034483,1
2,2023-01-01 00:38:16,2023-01-01 00:46:53,1.0,2.33,1.0,N,237,75,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0,0,6,0.28264462809917357,1
2,2023-01-01 00:53:23,2023-01-01 00:59:57,1.0,1.25,1.0,N,43,263,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0,0,6,0.3162790697674419,1
2,2023-01-01 00:09:59,2023-01-01 00:33:44,1.0,3.57,1.0,N,143,234,1,21.9,1.0,0.5,4.04,0.0,1.0,30.94,2.5,0.0,0,6,0.18447488584474886,0
2,2023-01-01 00:49:40,2023-01-01 01:21:21,1.0,4.11,1.0,N,107,142,1,28.9,1.0,0.5,6.1,0.0,1.0,40.0,2.5,0.0,0,6,0.21107266435986158,0
2,2023-01-01 00:45:41,2023-01-01 01:09:01,1.0,2.71,1.0,N,107,50,1,21.9,1.0,0.5,6.72,0.0,1.0,33.62,2.5,0.0,0,6,0.30684931506849317,1
2,2023-01-01 00:03:09,2023-01-01 00:25:22,1.0,4.69,1.0,N,249,239,1,26.1,1.0,0.5,9.33,0.0,1.0,40.43,2.5,0.0,0,6,0.35747126436781607,1
2,2023-01-01 00:11:39,2023-01-01 00:20:19,1.0,1.47,1.0,N,151,142,2,10.7,1.0,0.5,0.0,0.0,1.0,15.7,2.5,0.0,0,6,0.0,0
2,2023-01-01 00:23:46,2023-01-01 00:27:18,1.0,0.79,1.0,N,142,239,2,6.5,1.0,0.5,0.0,0.0,1.0,11.5,2.5,0.0,0,6,0.0,0
2,2023-01-01 00:29:24,2023-01-01 00:35:38,1.0,1.15,1.0,N,239,151,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0,0,6,0.3162790697674419,1
2,2023-01-01 00:38:46,2023-01-01 00:44:21,2.0,0.52,1.0,N,238,238,2,7.2,1.0,0.5,0.0,0.0,1.0,9.7,0.0,0.0,0,6,0.0,0
2,2023-01-01 00:45:56,2023-01-01 00:55:44,2.0,1.93,1.0,N,238,236,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0,0,6,0.28264462809917357,1
2,2023-01-01 00:12:01,2023-01-01 00:53:49,1.0,11.55,1.0,N,90,94,1,55.5,1.0,0.5,12.1,0.0,1.0,72.6,2.5,0.0,0,6,0.218018018018018,0
2,2023-01-01 00:30:08,2023-01-01 00:37:04,2.0,0.85,1.0,N,79,148,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0,0,6,0.3265822784810127,1
2,2023-01-01 00:39:16,2023-01-01 00:51:07,2.0,2.27,1.0,N,148,107,1,13.5,1.0,0.5,3.7,0.0,1.0,22.2,2.5,0.0,0,6,0.2740740740740741,1
2,2023-01-01 00:54:47,2023-01-01 01:07:33,2.0,2.41,1.0,N,234,162,1,14.2,1.0,0.5,0.8,0.0,1.0,20.0,2.5,0.0,0,6,0.05633802816901409,0
1,2023-01-01 00:05:51,2023-01-01 00:26:34,4.0,3.9,1.0,N,264,264,2,20.5,1.0,0.5,0.0,0.0,1.0,23.0,0.0,0.0,0,6,0.0,0
1,2023-01-01 00:33:23,2023-01-01 00:37:24,4.0,1.0,1.0,N,264,264,1,6.5,1.0,0.5,2.25,2.45,1.0,13.7,0.0,0.0,0,6,0.34615384615384615,1
1,2023-01-01 00:44:15,2023-01-01 00:47:00,4.0,0.5,1.0,N,264,264,1,5.1,1.0,0.5,1.95,2.45,1.0,12.0,0.0,0.0,0,6,0.3823529411764706,1
1,2023-01-01 00:49:46,2023-01-01 00:52:39,4.0,0.6,1.0,N,264,264,1,5.1,1.0,0.5,1.0,2.45,1.0,11.05,0.0,0.0,0,6,0.19607843137254904,0
1,2023-01-01 00:57:36,2023-01-01 01:20:23,4.0,5.2,1.0,N,264,264,1,24.7,1.0,0.5,5.0,2.45,1.0,34.65,0.0,0.0,0,6,0.20242914979757085,0
2,2023-01-01 00:07:44,2023-01-01 00:12:14,1.0,1.53,1.0,N,229,263,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0,0,6,0.3162790697674419,1
2,2023-01-01 00:24:47,2023-01-01 00:32:59,1.0,1.63,1.0,N,263,151,1,10.0,1.0,0.5,3.0,0.0,1.0,18.0,2.5,0.0,0,6,0.3,1
2,2023-01-01 00:49:27,2023-01-01 01:07:37,1.0,2.5,1.0,N,48,233,1,17.7,1.0,0.5,4.54,0.0,1.0,27.24,2.5,0.0,0,6,0.25649717514124293,1
1,2023-01-01 00:49:25,2023-01-01 01:18:52,4.0,18.9,2.0,N,132,45,1,70.0,3.75,0.5,0.0,0.0,1.0,75.25,2.5,1.25,0,6,0.0,0
2,2023-01-01 00:02:20,2023-01-01 00:07:36,1.0,1.28,1.0,N,236,239,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0,0,6,0.3162790697674419,1
